,metric,scenario,num_townspeople,std,pct_ppl_like,pct_ppl_dislike,loop_step,guac_20,guac_19,guac_18,guac_17,guac_16,guac_15,guac_14,guac_13,guac_12,guac_11,guac_10,guac_9,guac_8,guac_7,guac_6,guac_5,guac_4,guac_3,guac_2,fraction_multiple_winners
0,condorcet,a-lot-of-contenders,300,2,33,33,0,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,0.0
1,condorcet,a-lot-of-contenders,300,2,33,33,1,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,0.0
2,condorcet,a-lot-of-contenders,300,2,33,33,2,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,0.0
3,condorcet,a-lot-of-contenders,300,2,33,33,3,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,0.0
4,condorcet,a-lot-of-contenders,300,2,33,33,4,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,0.0
5,condorcet,a-lot-of-contenders,300,2,33,33,5,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,0.0
6,condorcet,a-lot-of-contenders,300,2,33,33,6,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,0.0
7,condorcet,a-lot-of-contenders,300,2,33,33,7,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,0.0
8,condorcet,a-lot-of-contenders,300,2,33,33,8,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,0.0
9,condorcet,a-lot-of-contenders,300,2,33,33,9,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,false,true,0.0
10,condorcet,a-lot-of-contenders,300,2,33,33,10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,0.0
11,condorcet,a-lot-of-contenders,300,2,33,33,11,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,0.0
12,condorcet,a-lot-of-contenders,300,2,33,33,12,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,0.0
13,condorcet,a-lot-of-contenders,300,2,33,33,13,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,0.0
14,condorcet,a-lot-of-contenders,300,2,33,33,14,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,0.0
15,condorcet,a-lot-of-contenders,300,2,33,33,15,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,0.0
16,condorcet,a-lot-of-contenders,300,2,33,33,16,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
17,condorcet,a-lot-of-contenders,300,2,33,33,17,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,0.0
18,condorcet,a-lot-of-contenders,300,2,33,33,18,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,0.0
19,condorcet,a-lot-of-contenders,300,2,33,33,19,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,0.0
20,condorcet,a-lot-of-contenders,300,2,33,33,20,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,0.0
21,condorcet,a-lot-of-contenders,300,2,33,33,21,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,0.0
22,condorcet,a-lot-of-contenders,300,2,33,33,22,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,0.0
23,condorcet,a-lot-of-contenders,300,2,33,33,23,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,0.0
24,condorcet,a-lot-of-contenders,300,2,33,33,24,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
25,condorcet,a-lot-of-contenders,300,2,33,33,25,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,0.0
26,condorcet,a-lot-of-contenders,300,2,33,33,26,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
27,condorcet,a-lot-of-contenders,300,2,33,33,27,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,0.0
28,condorcet,a-lot-of-contenders,300,2,33,33,28,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,0.0
29,condorcet,a-lot-of-contenders,300,2,33,33,29,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,0.0
30,condorcet,a-lot-of-contenders,300,2,33,33,30,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
31,condorcet,a-lot-of-contenders,300,2,33,33,31,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,0.0
32,condorcet,a-lot-of-contenders,300,2,33,33,32,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
33,condorcet,a-lot-of-contenders,300,2,33,33,33,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,0.0
34,condorcet,a-lot-of-contenders,300,2,33,33,34,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,0.0
35,condorcet,a-lot-of-contenders,300,2,33,33,35,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,0.0
36,condorcet,a-lot-of-contenders,300,2,33,33,36,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,0.0
37,condorcet,a-lot-of-contenders,300,2,33,33,37,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,0.0
38,condorcet,a-lot-of-contenders,300,2,33,33,38,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,0.0
39,condorcet,a-lot-of-contenders,300,2,33,33,39,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,0.0
40,condorcet,a-lot-of-contenders,300,2,33,33,40,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,0.0
41,condorcet,a-lot-of-contenders,300,2,33,33,41,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,false,0.0
42,condorcet,a-lot-of-contenders,300,2,33,33,42,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,0.0
43,condorcet,a-lot-of-contenders,300,2,33,33,43,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,0.0
44,condorcet,a-lot-of-contenders,300,2,33,33,44,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,false,0.0
45,condorcet,a-lot-of-contenders,300,2,33,33,45,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false,true,true,0.0
46,condorcet,a-lot-of-contenders,300,2,33,33,46,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,0.0
47,condorcet,a-lot-of-contenders,300,2,33,33,47,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,0.0
48,condorcet,a-lot-of-contenders,300,2,33,33,48,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,0.0
49,condorcet,a-lot-of-contenders,300,2,33,33,49,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,0.0
50,condorcet,a-lot-of-contenders,300,2,33,33,50,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,0.0
51,condorcet,a-lot-of-contenders,300,2,33,33,51,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,0.0
52,condorcet,a-lot-of-contenders,300,2,33,33,52,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,0.0
