,metric,scenario,num_townspeople,num_guacs_per_voter,std,pct_ppl_like,pct_ppl_dislike,loop_step,true_winner_recovered,multiple_winners
0,sum,a-lot-of-contenders,200,20,2,0,0,0,true,false
1,sum,a-lot-of-contenders,200,20,2,0,0,1,true,false
2,sum,a-lot-of-contenders,200,20,2,0,0,2,true,false
3,sum,a-lot-of-contenders,200,20,2,0,0,3,true,false
4,sum,a-lot-of-contenders,200,20,2,0,0,4,true,false
5,sum,a-lot-of-contenders,200,20,2,0,0,5,true,false
6,sum,a-lot-of-contenders,200,20,2,0,0,6,true,false
7,sum,a-lot-of-contenders,200,20,2,0,0,7,true,false
8,sum,a-lot-of-contenders,200,20,2,0,0,8,true,false
9,sum,a-lot-of-contenders,200,20,2,0,0,9,true,false
10,sum,a-lot-of-contenders,200,20,2,0,0,10,true,false
11,sum,a-lot-of-contenders,200,20,2,0,0,11,true,false
12,sum,a-lot-of-contenders,200,20,2,0,0,12,true,false
13,sum,a-lot-of-contenders,200,20,2,0,0,13,true,false
14,sum,a-lot-of-contenders,200,20,2,0,0,14,true,false
15,sum,a-lot-of-contenders,200,20,2,0,0,15,true,false
16,sum,a-lot-of-contenders,200,20,2,0,0,16,true,false
17,sum,a-lot-of-contenders,200,20,2,0,0,17,true,false
18,sum,a-lot-of-contenders,200,20,2,0,0,18,true,false
19,sum,a-lot-of-contenders,200,20,2,0,0,19,true,false
20,sum,a-lot-of-contenders,200,20,2,0,0,20,true,false
21,sum,a-lot-of-contenders,200,20,2,0,0,21,true,false
22,sum,a-lot-of-contenders,200,20,2,0,0,22,true,false
23,sum,a-lot-of-contenders,200,20,2,0,0,23,true,false
24,sum,a-lot-of-contenders,200,20,2,0,0,24,true,false
25,sum,a-lot-of-contenders,200,20,2,0,0,25,true,false
26,sum,a-lot-of-contenders,200,20,2,0,0,26,true,false
27,sum,a-lot-of-contenders,200,20,2,0,0,27,true,false
28,sum,a-lot-of-contenders,200,20,2,0,0,28,true,false
29,sum,a-lot-of-contenders,200,20,2,0,0,29,true,false
30,sum,a-lot-of-contenders,200,20,2,0,0,30,true,false
31,sum,a-lot-of-contenders,200,20,2,0,0,31,true,false
